Full Name,Owner,Repo,Description,Stars,Language,Updated,Repo URL,User URL,Labels
"motor-admin/motor-admin","motor-admin","motor-admin","Low-code Admin panel and Business intelligence Rails engine. No DSL - configurable from the UI. Rails Admin, Active Admin, Blazer modern alternative.","829","Ruby","Jun 17, 2025, 4:02 PM GMT-5","https://github.com/motor-admin/motor-admin","https://github.com/motor-admin","[{""text"":""rails"",""url"":""https://github.com/topics/rails""},{""text"":""charts"",""url"":""https://github.com/topics/charts""},{""text"":""crud"",""url"":""https://github.com/topics/crud""},{""text"":""admin"",""url"":""https://github.com/topics/admin""},{""text"":""sql"",""url"":""https://github.com/topics/sql""},{""text"":""admin-dashboard"",""url"":""https://github.com/topics/admin-dashboard""},{""text"":""business-intelligence"",""url"":""https://github.com/topics/business-intelligence""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""}]"
"inkeep/inkeep","inkeep","inkeep","Create AI Agents in a No-Code Visual Builder or TypeScript SDK with full 2-way sync. For shipping AI assistants and multi-agent AI workflows.","817","TypeScript","Dec 23, 2025, 8:23 PM GMT-5","https://github.com/inkeep/inkeep","https://github.com/inkeep","[{""text"":""agent"",""url"":""https://github.com/topics/agent""},{""text"":""workflow"",""url"":""https://github.com/topics/workflow""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""ai"",""url"":""https://github.com/topics/ai""},{""text"":""mcp"",""url"":""https://github.com/topics/mcp""},{""text"":""self-hosted"",""url"":""https://github.com/topics/self-hosted""},{""text"":""workflows"",""url"":""https://github.com/topics/workflows""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""ai-agents"",""url"":""https://github.com/topics/ai-agents""},{""text"":""developer-sdk"",""url"":""https://github.com/topics/developer-sdk""},{""text"":""agent-framework"",""url"":""https://github.com/topics/agent-framework""},{""text"":""mulit-agent"",""url"":""https://github.com/topics/mulit-agent""},{""text"":""ai-agent"",""url"":""https://github.com/topics/ai-agent""},{""text"":""llms"",""url"":""https://github.com/topics/llms""},{""text"":""agent-builder"",""url"":""https://github.com/topics/agent-builder""},{""text"":""inkeep"",""url"":""https://github.com/topics/inkeep""},{""text"":""mcp-server"",""url"":""https://github.com/topics/mcp-server""},{""text"":""aiagentframework"",""url"":""https://github.com/topics/aiagentframework""},{""text"":""agents-sdk"",""url"":""https://github.com/topics/agents-sdk""}]"
"structr/structr","structr","structr","Structr is an integrated low-code development and runtime environment that uses a graph database.","812","Java","Dec 23, 2025, 10:16 AM GMT-5","https://github.com/structr/structr","https://github.com/structr","[{""text"":""productivity"",""url"":""https://github.com/topics/productivity""},{""text"":""web-development"",""url"":""https://github.com/topics/web-development""},{""text"":""backend"",""url"":""https://github.com/topics/backend""},{""text"":""graph"",""url"":""https://github.com/topics/graph""},{""text"":""full-stack"",""url"":""https://github.com/topics/full-stack""},{""text"":""graph-database"",""url"":""https://github.com/topics/graph-database""},{""text"":""open-api"",""url"":""https://github.com/topics/open-api""},{""text"":""frontend-framework"",""url"":""https://github.com/topics/frontend-framework""},{""text"":""graalvm"",""url"":""https://github.com/topics/graalvm""},{""text"":""web-application-framework"",""url"":""https://github.com/topics/web-application-framework""},{""text"":""data-modeling"",""url"":""https://github.com/topics/data-modeling""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""productivity-tools"",""url"":""https://github.com/topics/productivity-tools""},{""text"":""backend-framework"",""url"":""https://github.com/topics/backend-framework""},{""text"":""schema-design"",""url"":""https://github.com/topics/schema-design""},{""text"":""platform-as-a-service"",""url"":""https://github.com/topics/platform-as-a-service""},{""text"":""software-as-a-service"",""url"":""https://github.com/topics/software-as-a-service""},{""text"":""low-code-development-platform"",""url"":""https://github.com/topics/low-code-development-platform""},{""text"":""polyglot-programming"",""url"":""https://github.com/topics/polyglot-programming""}]"
"LianjiaTech/LianjiaTech","LianjiaTech","LianjiaTech","低代码平台, 可视化编辑器，单手打代码，解放你的双手","804","TypeScript","Jun 28, 2023, 12:21 AM GMT-5","https://github.com/LianjiaTech/LianjiaTech","https://github.com/LianjiaTech","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""nodejs"",""url"":""https://github.com/topics/nodejs""},{""text"":""full-stack"",""url"":""https://github.com/topics/full-stack""},{""text"":""codegenerator"",""url"":""https://github.com/topics/codegenerator""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""gui-editor"",""url"":""https://github.com/topics/gui-editor""}]"
"ConduitPlatform/ConduitPlatform","ConduitPlatform","ConduitPlatform","Batteries-included backend that works with any stack.","804","TypeScript","Dec 22, 2025, 10:12 AM GMT-5","https://github.com/ConduitPlatform/ConduitPlatform","https://github.com/ConduitPlatform","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""javascript"",""url"":""https://github.com/topics/javascript""},{""text"":""api"",""url"":""https://github.com/topics/api""},{""text"":""graphql"",""url"":""https://github.com/topics/graphql""},{""text"":""cms"",""url"":""https://github.com/topics/cms""},{""text"":""firebase"",""url"":""https://github.com/topics/firebase""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""authentication"",""url"":""https://github.com/topics/authentication""},{""text"":""backend"",""url"":""https://github.com/topics/backend""},{""text"":""grpc"",""url"":""https://github.com/topics/grpc""},{""text"":""self-hosted"",""url"":""https://github.com/topics/self-hosted""},{""text"":""cloud-native"",""url"":""https://github.com/topics/cloud-native""},{""text"":""backend-as-a-service"",""url"":""https://github.com/topics/backend-as-a-service""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""}]"
"sahadev/sahadev","sahadev","sahadev","拖拽式Vue组件代码生成编辑器（VCC）","798","Vue","Dec 3, 2025, 4:55 AM GMT-5","https://github.com/sahadev/sahadev","https://github.com/sahadev","[{""text"":""vuejs"",""url"":""https://github.com/topics/vuejs""},{""text"":""drag"",""url"":""https://github.com/topics/drag""},{""text"":""vue-components"",""url"":""https://github.com/topics/vue-components""},{""text"":""draggable"",""url"":""https://github.com/topics/draggable""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""}]"
"freakchick/freakchick","freakchick","freakchick","Build rest API with SQL in one minute","785","Vue","Nov 9, 2025, 9:14 AM GMT-5","https://github.com/freakchick/freakchick","https://github.com/freakchick","[{""text"":""api"",""url"":""https://github.com/topics/api""},{""text"":""sql"",""url"":""https://github.com/topics/sql""},{""text"":""rest-api"",""url"":""https://github.com/topics/rest-api""},{""text"":""dbapi"",""url"":""https://github.com/topics/dbapi""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""sql2api"",""url"":""https://github.com/topics/sql2api""}]"
"grouparoo/grouparoo","grouparoo","grouparoo","🦘 The Grouparoo Monorepo - open source customer data sync framework","765","JavaScript","Apr 8, 2022, 3:50 PM GMT-5","https://github.com/grouparoo/grouparoo","https://github.com/grouparoo","[{""text"":""nodejs"",""url"":""https://github.com/topics/nodejs""},{""text"":""docker"",""url"":""https://github.com/topics/docker""},{""text"":""marketing"",""url"":""https://github.com/topics/marketing""},{""text"":""events"",""url"":""https://github.com/topics/events""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""communication"",""url"":""https://github.com/topics/communication""},{""text"":""marketing-automation"",""url"":""https://github.com/topics/marketing-automation""},{""text"":""email"",""url"":""https://github.com/topics/email""},{""text"":""push-notifications"",""url"":""https://github.com/topics/push-notifications""},{""text"":""self-hosted"",""url"":""https://github.com/topics/self-hosted""},{""text"":""apis"",""url"":""https://github.com/topics/apis""},{""text"":""hacktoberfest"",""url"":""https://github.com/topics/hacktoberfest""},{""text"":""marketing-tools"",""url"":""https://github.com/topics/marketing-tools""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""integration-framework"",""url"":""https://github.com/topics/integration-framework""},{""text"":""marketing-analytics"",""url"":""https://github.com/topics/marketing-analytics""},{""text"":""marketing-operations"",""url"":""https://github.com/topics/marketing-operations""},{""text"":""grouparoo"",""url"":""https://github.com/topics/grouparoo""},{""text"":""reverse-etl"",""url"":""https://github.com/topics/reverse-etl""}]"
"ovineio/ovineio","ovineio","ovineio","ovine由于存在设计缺陷不再更新。 新版会在 ovine-next 重写。 https://github.com/ovineio/ovine-next","756","JavaScript","Nov 17, 2025, 11:52 AM GMT-5","https://github.com/ovineio/ovineio","https://github.com/ovineio","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""json"",""url"":""https://github.com/topics/json""},{""text"":""admin"",""url"":""https://github.com/topics/admin""},{""text"":""webpack"",""url"":""https://github.com/topics/webpack""},{""text"":""antd"",""url"":""https://github.com/topics/antd""},{""text"":""json-form"",""url"":""https://github.com/topics/json-form""},{""text"":""admin-template"",""url"":""https://github.com/topics/admin-template""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""react-admin"",""url"":""https://github.com/topics/react-admin""},{""text"":""amis"",""url"":""https://github.com/topics/amis""},{""text"":""antd-design"",""url"":""https://github.com/topics/antd-design""},{""text"":""amis-demo"",""url"":""https://github.com/topics/amis-demo""},{""text"":""ovine"",""url"":""https://github.com/topics/ovine""}]"
"staringos/staringos","staringos","staringos","💻 无代码编辑器，无需代码生成小程序、H5页面和网站 ，拖拽操作、样式配置快速生成页面应用，数据可视化接入，支持定制业务拓展插件. StaringOS MtBird is a low-code platform for HTML Pages 、 Websites. We help users build pages without code or less code.","745","TypeScript","May 22, 2024, 5:42 AM GMT-5","https://github.com/staringos/staringos","https://github.com/staringos","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""nodejs"",""url"":""https://github.com/topics/nodejs""},{""text"":""editor"",""url"":""https://github.com/topics/editor""},{""text"":""html5"",""url"":""https://github.com/topics/html5""},{""text"":""saas"",""url"":""https://github.com/topics/saas""},{""text"":""renderer"",""url"":""https://github.com/topics/renderer""},{""text"":""mini-program"",""url"":""https://github.com/topics/mini-program""},{""text"":""ant-design"",""url"":""https://github.com/topics/ant-design""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""nocode"",""url"":""https://github.com/topics/nocode""},{""text"":""no-code-framework"",""url"":""https://github.com/topics/no-code-framework""},{""text"":""low-code-framework"",""url"":""https://github.com/topics/low-code-framework""}]"
"wwwlike/wwwlike","wwwlike","wwwlike","上手简单，无需前端开发的准零代码平台，做轻流/明道本地化的平替产品。","715","Java","Jul 7, 2025, 11:23 PM GMT-5","https://github.com/wwwlike/wwwlike","https://github.com/wwwlike","[{""text"":""admin"",""url"":""https://github.com/topics/admin""},{""text"":""spring"",""url"":""https://github.com/topics/spring""},{""text"":""spring-boot"",""url"":""https://github.com/topics/spring-boot""},{""text"":""codegenerator"",""url"":""https://github.com/topics/codegenerator""},{""text"":""template-project"",""url"":""https://github.com/topics/template-project""},{""text"":""data-engineer"",""url"":""https://github.com/topics/data-engineer""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""form-designer"",""url"":""https://github.com/topics/form-designer""}]"
"TouK/TouK","TouK","TouK","Low-code tool for automating actions on real time data | Stream processing for the users.","703","Scala","Dec 23, 2025, 8:36 PM GMT-5","https://github.com/TouK/TouK","https://github.com/TouK","[{""text"":""gui"",""url"":""https://github.com/topics/gui""},{""text"":""automation"",""url"":""https://github.com/topics/automation""},{""text"":""streaming"",""url"":""https://github.com/topics/streaming""},{""text"":""real-time"",""url"":""https://github.com/topics/real-time""},{""text"":""scala"",""url"":""https://github.com/topics/scala""},{""text"":""kafka"",""url"":""https://github.com/topics/kafka""},{""text"":""big-data"",""url"":""https://github.com/topics/big-data""},{""text"":""decision-making"",""url"":""https://github.com/topics/decision-making""},{""text"":""stream-processing"",""url"":""https://github.com/topics/stream-processing""},{""text"":""apache-flink"",""url"":""https://github.com/topics/apache-flink""},{""text"":""decisioning"",""url"":""https://github.com/topics/decisioning""},{""text"":""flink"",""url"":""https://github.com/topics/flink""},{""text"":""rules-engine"",""url"":""https://github.com/topics/rules-engine""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""data-streaming"",""url"":""https://github.com/topics/data-streaming""},{""text"":""decision-engine"",""url"":""https://github.com/topics/decision-engine""},{""text"":""flink-kafka"",""url"":""https://github.com/topics/flink-kafka""},{""text"":""touk"",""url"":""https://github.com/topics/touk""},{""text"":""lowcode"",""url"":""https://github.com/topics/lowcode""}]"
"bytechefhq/bytechefhq","bytechefhq","bytechefhq","Open-source, AI-native, low-code platform for API orchestration, workflow automation, and AI agent integration across internal systems and SaaS products.","690","Java","Dec 24, 2025, 8:33 AM GMT-5","https://github.com/bytechefhq/bytechefhq","https://github.com/bytechefhq","[{""text"":""java"",""url"":""https://github.com/topics/java""},{""text"":""api"",""url"":""https://github.com/topics/api""},{""text"":""workflow"",""url"":""https://github.com/topics/workflow""},{""text"":""integrations"",""url"":""https://github.com/topics/integrations""},{""text"":""automation"",""url"":""https://github.com/topics/automation""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""ai"",""url"":""https://github.com/topics/ai""},{""text"":""mcp"",""url"":""https://github.com/topics/mcp""},{""text"":""zapier"",""url"":""https://github.com/topics/zapier""},{""text"":""self-hosted"",""url"":""https://github.com/topics/self-hosted""},{""text"":""ipaas"",""url"":""https://github.com/topics/ipaas""},{""text"":""hacktoberfest"",""url"":""https://github.com/topics/hacktoberfest""},{""text"":""workflow-automation"",""url"":""https://github.com/topics/workflow-automation""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""ai-agents"",""url"":""https://github.com/topics/ai-agents""},{""text"":""n8n"",""url"":""https://github.com/topics/n8n""},{""text"":""workato"",""url"":""https://github.com/topics/workato""},{""text"":""llm"",""url"":""https://github.com/topics/llm""},{""text"":""embedded-ipaas"",""url"":""https://github.com/topics/embedded-ipaas""}]"
"abixen/abixen","abixen","abixen","Abixen Platform is a microservices based software platform for building enterprise applications delivering functionalities through creating particular microservices and integrating by provided CMS.","687","Java","Jun 20, 2022, 7:03 PM GMT-5","https://github.com/abixen/abixen","https://github.com/abixen","[{""text"":""visualization"",""url"":""https://github.com/topics/visualization""},{""text"":""angularjs"",""url"":""https://github.com/topics/angularjs""},{""text"":""aws"",""url"":""https://github.com/topics/aws""},{""text"":""charts"",""url"":""https://github.com/topics/charts""},{""text"":""cloud"",""url"":""https://github.com/topics/cloud""},{""text"":""microservices"",""url"":""https://github.com/topics/microservices""},{""text"":""spring-boot"",""url"":""https://github.com/topics/spring-boot""},{""text"":""dashboard"",""url"":""https://github.com/topics/dashboard""},{""text"":""analytics"",""url"":""https://github.com/topics/analytics""},{""text"":""architecture"",""url"":""https://github.com/topics/architecture""},{""text"":""reporting"",""url"":""https://github.com/topics/reporting""},{""text"":""spring-cloud"",""url"":""https://github.com/topics/spring-cloud""},{""text"":""businessintelligence"",""url"":""https://github.com/topics/businessintelligence""},{""text"":""data-visualization"",""url"":""https://github.com/topics/data-visualization""},{""text"":""business-intelligence"",""url"":""https://github.com/topics/business-intelligence""},{""text"":""data-analytics"",""url"":""https://github.com/topics/data-analytics""},{""text"":""data-analysis"",""url"":""https://github.com/topics/data-analysis""},{""text"":""sql-editor"",""url"":""https://github.com/topics/sql-editor""},{""text"":""netflixoss"",""url"":""https://github.com/topics/netflixoss""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""}]"
"liyupi/liyupi","liyupi","liyupi","基于 React + Spring Boot + Picocli + 对象存储的代码生成器共享平台，又分为 3 个循序渐进的子项目：基于命令行的本地代码生成器 + 代码生成器制作工具 + 在线代码生成器平台。实践 Java 命令行应用开发、FreeMarker 模板引擎、多种设计模式、对象存储、十几种优化方法、复杂业务的拆解和系统设计、分布式任务调度系统、Vert.x 响应式编程等","658","Java","Aug 14, 2024, 11:04 AM GMT-5","https://github.com/liyupi/liyupi","https://github.com/liyupi","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""java"",""url"":""https://github.com/topics/java""},{""text"":""frontend"",""url"":""https://github.com/topics/frontend""},{""text"":""springboot"",""url"":""https://github.com/topics/springboot""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""}]"
"food-billboard/food-billboard","food-billboard","food-billboard","基于Echarts的可视化数据大屏设计器（包含设计、预览、分享等全部流程）","645","TypeScript","Nov 14, 2024, 8:11 PM GMT-5","https://github.com/food-billboard/food-billboard","https://github.com/food-billboard","[{""text"":""editor"",""url"":""https://github.com/topics/editor""},{""text"":""chart"",""url"":""https://github.com/topics/chart""},{""text"":""design"",""url"":""https://github.com/topics/design""},{""text"":""echarts"",""url"":""https://github.com/topics/echarts""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""}]"
"webcodesk/webcodesk","webcodesk","webcodesk","Webcodesk - Web App Builder for Create React App","599","JavaScript","Feb 24, 2021, 10:17 AM GMT-5","https://github.com/webcodesk/webcodesk","https://github.com/webcodesk","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""web"",""url"":""https://github.com/topics/web""},{""text"":""visual"",""url"":""https://github.com/topics/visual""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""}]"
"jogetworkflow/jogetworkflow","jogetworkflow","jogetworkflow","Joget is an open source no-code/low-code application platform that combines the best of rapid application development, business process automation and workflow management. This Joget open source repository is licensed under GPLv3. For commercial licensing, please visit www.joget.org.","594","JavaScript","Dec 10, 2025, 12:37 AM GMT-5","https://github.com/jogetworkflow/jogetworkflow","https://github.com/jogetworkflow","[{""text"":""javascript"",""url"":""https://github.com/topics/javascript""},{""text"":""css"",""url"":""https://github.com/topics/css""},{""text"":""java"",""url"":""https://github.com/topics/java""},{""text"":""spring"",""url"":""https://github.com/topics/spring""},{""text"":""hibernate"",""url"":""https://github.com/topics/hibernate""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""}]"
"oracle/oracle","oracle","oracle","Official Oracle APEX repo for sample code, starter apps, plug-ins, and more! #orclapex","590","","Dec 10, 2025, 4:45 PM GMT-5","https://github.com/oracle/oracle","https://github.com/oracle","[{""text"":""oracle-database"",""url"":""https://github.com/topics/oracle-database""},{""text"":""app-development"",""url"":""https://github.com/topics/app-development""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""}]"
"AtomGraph/AtomGraph","AtomGraph","AtomGraph","The low-code Knowledge Graph application platform. Apache license.","585","XSLT","Dec 26, 2025, 7:51 AM GMT-5","https://github.com/AtomGraph/AtomGraph","https://github.com/AtomGraph","[{""text"":""platform"",""url"":""https://github.com/topics/platform""},{""text"":""framework"",""url"":""https://github.com/topics/framework""},{""text"":""linked-data"",""url"":""https://github.com/topics/linked-data""},{""text"":""sparql"",""url"":""https://github.com/topics/sparql""},{""text"":""data-driven"",""url"":""https://github.com/topics/data-driven""},{""text"":""rdf"",""url"":""https://github.com/topics/rdf""},{""text"":""xslt"",""url"":""https://github.com/topics/xslt""},{""text"":""declarative"",""url"":""https://github.com/topics/declarative""},{""text"":""semantic-web"",""url"":""https://github.com/topics/semantic-web""},{""text"":""owl"",""url"":""https://github.com/topics/owl""},{""text"":""webid"",""url"":""https://github.com/topics/webid""},{""text"":""knowledge-graph"",""url"":""https://github.com/topics/knowledge-graph""},{""text"":""openid-connect"",""url"":""https://github.com/topics/openid-connect""},{""text"":""data-management"",""url"":""https://github.com/topics/data-management""},{""text"":""triplestore"",""url"":""https://github.com/topics/triplestore""},{""text"":""linked-open-data"",""url"":""https://github.com/topics/linked-open-data""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""ontology-driven-development"",""url"":""https://github.com/topics/ontology-driven-development""}]"
"crusher-dev/crusher-dev","crusher-dev","crusher-dev","🧙‍♀️ Fast low-code testing — create, run tests and get alerts ⏱️ Create test in <60 secs 👉 Better open source alternative to selenium, cypress and puppeteer","570","TypeScript","Jul 12, 2025, 7:40 AM GMT-5","https://github.com/crusher-dev/crusher-dev","https://github.com/crusher-dev","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""nodejs"",""url"":""https://github.com/topics/nodejs""},{""text"":""javascript"",""url"":""https://github.com/topics/javascript""},{""text"":""testing"",""url"":""https://github.com/topics/testing""},{""text"":""vuejs"",""url"":""https://github.com/topics/vuejs""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""frontend"",""url"":""https://github.com/topics/frontend""},{""text"":""reactjs"",""url"":""https://github.com/topics/reactjs""},{""text"":""test"",""url"":""https://github.com/topics/test""},{""text"":""selenium"",""url"":""https://github.com/topics/selenium""},{""text"":""cypress"",""url"":""https://github.com/topics/cypress""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""playwright"",""url"":""https://github.com/topics/playwright""},{""text"":""low-code-framework"",""url"":""https://github.com/topics/low-code-framework""},{""text"":""playwright-javascript"",""url"":""https://github.com/topics/playwright-javascript""}]"
"antdimot/antdimot","antdimot","antdimot","A collection of Awesome low-code development platform (LCDP).","556","","Dec 15, 2025, 4:33 PM GMT-5","https://github.com/antdimot/antdimot","https://github.com/antdimot","[{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""lcpd"",""url"":""https://github.com/topics/lcpd""}]"
"goatplatform/goatplatform","goatplatform","goatplatform","The Embedded, Distributed, Document DB","555","TypeScript","Aug 15, 2025, 5:43 AM GMT-5","https://github.com/goatplatform/goatplatform","https://github.com/goatplatform","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""browser"",""url"":""https://github.com/topics/browser""},{""text"":""database"",""url"":""https://github.com/topics/database""},{""text"":""frontend"",""url"":""https://github.com/topics/frontend""},{""text"":""backend"",""url"":""https://github.com/topics/backend""},{""text"":""devtools"",""url"":""https://github.com/topics/devtools""},{""text"":""edge"",""url"":""https://github.com/topics/edge""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""deno"",""url"":""https://github.com/topics/deno""},{""text"":""local-first"",""url"":""https://github.com/topics/local-first""}]"
"apache/apache","apache","apache","Apache Camel Karavan a Low-code Data Integration Platform","551","TypeScript","Dec 18, 2025, 10:26 AM GMT-5","https://github.com/apache/apache","https://github.com/apache","[{""text"":""java"",""url"":""https://github.com/topics/java""},{""text"":""docker"",""url"":""https://github.com/topics/docker""},{""text"":""kubernetes"",""url"":""https://github.com/topics/kubernetes""},{""text"":""integration"",""url"":""https://github.com/topics/integration""},{""text"":""vscode"",""url"":""https://github.com/topics/vscode""},{""text"":""camel"",""url"":""https://github.com/topics/camel""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""}]"
"TM9657/TM9657","TM9657","TM9657","Flow-Like: Strongly Typed Enterprise Scale Workflows. Built for scalability, speed, seamless AI integration and rich customization.","542","Rust","Dec 23, 2025, 5:59 AM GMT-5","https://github.com/TM9657/TM9657","https://github.com/TM9657","[{""text"":""rust"",""url"":""https://github.com/topics/rust""},{""text"":""workflow"",""url"":""https://github.com/topics/workflow""},{""text"":""development"",""url"":""https://github.com/topics/development""},{""text"":""automation"",""url"":""https://github.com/topics/automation""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""ai"",""url"":""https://github.com/topics/ai""},{""text"":""mcp"",""url"":""https://github.com/topics/mcp""},{""text"":""data-flow"",""url"":""https://github.com/topics/data-flow""},{""text"":""self-hosted"",""url"":""https://github.com/topics/self-hosted""},{""text"":""apis"",""url"":""https://github.com/topics/apis""},{""text"":""typed"",""url"":""https://github.com/topics/typed""},{""text"":""agents"",""url"":""https://github.com/topics/agents""},{""text"":""workflow-automation"",""url"":""https://github.com/topics/workflow-automation""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""visual-scripting"",""url"":""https://github.com/topics/visual-scripting""},{""text"":""llm"",""url"":""https://github.com/topics/llm""},{""text"":""mcp-server"",""url"":""https://github.com/topics/mcp-server""},{""text"":""mcp-client"",""url"":""https://github.com/topics/mcp-client""}]"
"noodlapp/noodlapp","noodlapp","noodlapp","Noodl is a low code platform for creating full stack web applications","534","TypeScript","Jul 17, 2024, 8:20 PM GMT-5","https://github.com/noodlapp/noodlapp","https://github.com/noodlapp","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""javascript"",""url"":""https://github.com/topics/javascript""},{""text"":""editor"",""url"":""https://github.com/topics/editor""},{""text"":""workflow"",""url"":""https://github.com/topics/workflow""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""app-builder"",""url"":""https://github.com/topics/app-builder""},{""text"":""low-code-platform"",""url"":""https://github.com/topics/low-code-platform""}]"
"biaogebusy/biaogebusy","biaogebusy","biaogebusy","AI 驱动 UI 生成和发布的低代码平台，基于TailwindCss，通过拖拽可视化快速构建现代化响应式UI、动态自定义组件、多主题、多语言的网站应用。AI-powered UI generation and publishing low code platform, built on TailwindCSS, enabling rapid drag-and-drop visual creation of modern responsive UIs, dynamic customizable components, multi-theme, and multi-language web applications.","525","TypeScript","Dec 19, 2025, 11:51 PM GMT-5","https://github.com/biaogebusy/biaogebusy","https://github.com/biaogebusy","[{""text"":""angular"",""url"":""https://github.com/topics/angular""},{""text"":""rxjs"",""url"":""https://github.com/topics/rxjs""},{""text"":""ai"",""url"":""https://github.com/topics/ai""},{""text"":""drupal"",""url"":""https://github.com/topics/drupal""},{""text"":""drag-and-drop"",""url"":""https://github.com/topics/drag-and-drop""},{""text"":""storybook"",""url"":""https://github.com/topics/storybook""},{""text"":""web-builder"",""url"":""https://github.com/topics/web-builder""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""ai-agents"",""url"":""https://github.com/topics/ai-agents""},{""text"":""tailwindcss"",""url"":""https://github.com/topics/tailwindcss""},{""text"":""frond-end"",""url"":""https://github.com/topics/frond-end""},{""text"":""lowcode"",""url"":""https://github.com/topics/lowcode""},{""text"":""deepseek"",""url"":""https://github.com/topics/deepseek""}]"
"fastschema/fastschema","fastschema","fastschema","All-in-One Backend as a Service with Headless CMS Power","525","Go","Dec 19, 2025, 3:36 AM GMT-5","https://github.com/fastschema/fastschema","https://github.com/fastschema","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""golang"",""url"":""https://github.com/topics/golang""},{""text"":""cms"",""url"":""https://github.com/topics/cms""},{""text"":""framework"",""url"":""https://github.com/topics/framework""},{""text"":""backend"",""url"":""https://github.com/topics/backend""},{""text"":""rbac"",""url"":""https://github.com/topics/rbac""},{""text"":""backend-as-a-service"",""url"":""https://github.com/topics/backend-as-a-service""},{""text"":""headless-cms"",""url"":""https://github.com/topics/headless-cms""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""}]"
